galaxy,alpha,gamma,rms_velocity,n_points,M_baryon,R_disk,sigma_velocity
CamB,18.79058384186814,2.6831809216468456,4.45210905671748,9,49435123.19851233,1.79,1.635
D564-8,20.0,3.0,5.969459988447331,6,310227353.5564854,3.07,3.1275
D631-7,20.0,3.0,24.251413266940812,16,5185240144.119016,7.19,8.355
DDO064,15.476143145012049,1.004810701063839,5.0336332543766575,14,1418348733.1473734,2.98,6.7875
DDO154,20.0,3.0,22.42568716913554,12,2792806787.5406785,5.92,6.757499999999999
DDO161,20.0,3.0,20.743386185042493,31,13723060303.347277,13.37,9.967499999999998
DDO168,17.516946132725778,2.063118992603495,7.583344411285387,10,2206527196.65272,4.12,7.199999999999999
DDO170,20.0,1.9710338649402384,21.764956941270977,8,9344689748.953976,12.33,8.565
ESO079-G014,16.688812989496398,1.9266881586090452,3.100316509606605,15,97347258833.10088,16.67,23.775
ESO116-G012,19.585070772424785,2.2328166251509445,14.117863044820933,15,26981493491.39935,9.86,16.275
ESO444-G084,20.0,3.0,26.107430722168708,7,2877268619.246862,4.44,7.919999999999999
ESO563-G021,20.0,3.0,28.733308241092175,30,962715379474.663,42.41,46.875
F561-1,19.249429789042885,-2.524642846795042,4.151914409328485,6,5034388040.446304,9.66,7.1025
F563-1,20.0,0.9764376881322989,46.96605271621466,17,52745271094.83962,20.1,15.9375
F563-V1,19.249429789042885,-2.524642846795042,1.5528864771231206,6,1429117544.165505,7.87,4.1925
F563-V2,19.4019049629016,1.6272782936994183,8.834987349849613e-10,10,25769561297.071136,10.47,15.435
F565-V2,20.0,3.0,23.68743832307729,7,9598279869.827988,8.8,10.275
F568-1,18.79058384186814,1.6456145700990212,8.630614668600658e-10,12,44654325313.80753,13.23,18.075
F568-3,11.630295290363378,2.0383483103239732,0.285493267079937,18,38799195385.86704,17.98,14.4525
F568-V1,19.628092601765907,1.9160167184320827,17.831289979087344,15,51406490004.649,17.63,16.8
