R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
2.5,206.0,75.0,0.0,122.77,171.6,210.99533857410213
7.49,285.0,8.0,0.0,218.15,99.53,239.78249185459725
12.54,291.0,7.0,0.0,234.07,76.92,246.38476271880126
17.45,274.0,5.0,0.0,221.55,65.21,230.94749749672545
22.47,266.0,4.0,23.41,205.25,57.46,214.4230449368724
27.48,255.0,2.0,35.47,190.15,51.96,200.287256209675
32.5,250.0,2.0,42.22,174.2,47.78,185.50228246574216
37.51,242.0,2.0,45.59,160.68,44.48,172.84380492224764
42.42,237.0,2.0,49.68,149.48,41.82,162.976333251181
47.44,235.0,2.0,50.91,139.94,39.55,154.0754172475285
52.45,236.0,2.0,48.66,131.98,37.61,145.60572825270302
57.47,242.0,2.0,50.7,125.25,35.93,139.81780072651694
62.48,246.0,2.0,51.01,119.5,34.46,134.42381373848906
67.4,242.0,4.0,48.35,114.62,33.18,128.74928854172362
72.41,242.0,5.0,44.77,110.24,32.01,123.21465253775624
