R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.26,6.1,1.6,1.0,2.78,0.0,2.9543865691544156
0.52,11.2,0.7,2.12,4.73,0.0,5.183367631183419
0.77,14.9,1.5,4.53,7.0,0.0,8.337919404743607
1.03,19.1,2.2,6.54,8.59,0.0,10.796281767349349
1.29,24.3,0.9,8.22,10.63,0.0,13.437458837146258
1.55,29.8,1.9,10.06,11.72,0.0,15.445452405157967
1.81,34.3,1.6,11.73,12.56,0.0,17.185648082047997
2.06,38.2,3.5,12.92,13.39,0.0,18.606947627163354
2.32,42.5,5.6,13.76,13.69,0.0,19.41014425500233
2.58,42.3,3.0,14.44,13.73,0.0,19.925523832511907
2.84,47.3,4.4,15.04,13.74,0.0,20.371283710164168
3.1,49.3,4.0,15.37,14.32,0.0,21.007124981777014
3.35,50.6,3.5,15.75,15.08,0.0,21.805249367984764
3.61,53.0,3.5,16.29,15.34,0.0,22.375873167320194
3.87,54.7,3.3,16.37,14.77,0.0,22.048351412293847
4.13,55.2,3.1,16.42,14.16,0.0,21.682296926294505
4.38,57.5,2.6,16.88,13.87,0.0,21.84745522938541
4.64,59.1,2.4,17.22,13.96,0.0,22.167769396130048
4.9,61.2,1.9,17.66,14.01,0.0,22.542309109760694
5.16,62.7,1.9,18.09,14.01,0.0,22.8807386244413
5.42,64.4,2.9,18.73,13.96,0.0,23.360104879901545
5.67,66.6,3.2,19.3,13.99,0.0,23.837157968180687
5.93,66.3,3.4,19.36,13.93,0.0,23.850670850103985
6.19,66.2,3.2,19.43,13.15,0.0,23.461615460151076
6.45,67.3,3.0,19.41,12.62,0.0,23.151943762889545
