R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
1.74,96.4,12.1,5.73,129.95,70.64,148.01974530446944
3.5,157.0,10.5,16.49,217.21,49.8,223.45501605468607
5.24,192.0,8.4,21.44,237.63,40.7,242.04169165662347
6.98,201.0,6.9,24.35,246.25,35.27,249.95191117492982
8.72,201.0,7.3,30.5,251.02,31.55,254.82678999665637
10.47,194.0,6.4,41.92,230.73,28.8,236.26904007931296
12.19,190.0,6.0,51.62,208.57,26.69,216.51426142404569
13.94,186.0,6.4,50.11,192.8,24.96,200.76317814778687
15.68,184.0,6.4,48.39,179.28,23.53,187.18058499748312
17.42,182.0,7.3,52.05,169.24,22.32,178.4644572456936
19.16,181.0,6.6,50.54,160.07,21.29,169.2039024372665
20.9,183.0,6.5,48.06,151.49,20.38,160.23210695737606
22.65,185.0,6.5,52.27,145.0,19.58,155.37222821341015
24.39,186.0,9.1,50.33,138.91,18.87,148.94688281397498
26.13,186.0,11.4,47.42,133.62,18.23,142.9520678409375
27.87,184.0,13.6,44.83,128.95,17.65,137.6566522184816
29.61,185.0,13.6,43.0,124.77,17.12,133.0775987910813
