R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.19,153.0,8.0,0.96,24.4,233.17,234.4451545671183
0.56,130.0,9.0,2.86,62.52,168.53,179.77566826464587
0.94,128.0,3.0,4.5,91.94,137.01,165.06045468251926
1.22,134.0,3.0,5.34,109.48,120.39,162.81320001768898
1.59,129.0,4.0,6.46,127.82,105.47,165.84210834405116
1.96,131.0,7.0,6.51,138.39,94.99,167.97997588998516
2.34,138.0,8.0,6.51,151.17,86.94,174.5087751375271
2.71,139.0,5.0,6.44,166.55,80.79,185.22256935913614
2.99,143.0,3.0,6.38,170.5,76.91,187.15261820236447
3.37,146.0,2.0,7.55,177.07,72.44,191.46368062899032
3.74,154.0,2.0,10.54,180.71,68.77,193.64015234449698
4.12,161.0,1.0,12.86,184.13,65.52,195.86246935030712
4.4,167.0,2.0,13.54,187.91,63.4,198.77892166927558
4.77,173.0,2.0,14.41,193.15,60.89,203.03241785488345
5.15,176.0,4.0,17.51,197.95,58.6,207.18292062812512
5.52,178.0,5.0,20.8,204.45,56.6,213.15722483650418
5.89,180.0,3.0,23.41,204.89,54.8,213.37989642888104
6.17,179.0,4.0,25.15,201.57,53.54,210.07027157596573
6.55,180.0,5.0,27.66,200.86,51.96,209.30756508067262
6.92,181.0,4.0,31.15,201.34,50.55,209.91288812266865
7.3,179.0,4.0,34.05,198.33,49.22,207.1637029018356
7.58,179.0,2.0,34.92,194.96,48.3,203.8668634182613
7.95,179.0,1.0,35.89,189.92,47.17,198.95403338459866
8.33,178.0,1.0,37.34,184.93,46.08,194.20799906286044
8.7,177.0,2.0,38.88,182.77,45.09,192.2228794914903
9.08,176.0,2.0,39.08,181.24,44.13,190.5849965238607
9.36,173.0,3.0,38.4,179.87,43.47,188.9905230428235
9.73,172.0,2.0,37.72,177.19,42.63,186.10860109086843
10.1,172.0,2.0,37.43,174.69,41.85,183.4912082362531
10.48,170.0,2.0,37.14,171.99,41.08,180.68620893693023
10.76,171.0,2.0,36.66,170.15,40.54,178.71337303067168
11.13,174.0,2.0,35.89,167.51,39.86,175.88778183830735
11.51,174.0,2.0,36.08,164.95,39.2,173.34044219396694
11.88,175.0,2.0,36.76,162.35,38.58,170.87198863476715
12.26,174.0,2.0,37.82,159.81,37.98,168.55879953298196
12.54,173.0,6.0,38.79,158.0,37.55,166.96905881030773
12.91,173.0,6.0,40.14,155.62,37.01,164.91981112043513
13.29,173.0,8.0,42.08,153.17,36.48,162.98026168834065
13.66,175.0,9.0,44.01,150.89,35.98,161.24277534202886
14.03,174.0,9.0,45.46,148.68,35.5,159.47602954676293
14.31,171.0,9.0,46.53,147.06,35.16,158.20211787457208
14.69,167.0,8.0,45.94,144.87,34.7,155.89063634484273
15.06,165.0,7.0,44.59,142.8,34.27,153.4748871965704
15.44,163.0,8.0,44.01,140.8,33.84,151.3494819944885
15.72,162.0,8.0,44.2,139.35,33.54,149.98997999866523
16.09,161.0,9.0,33.85,137.46,33.15,145.39599925720103
16.47,159.0,10.0,33.85,135.59,32.77,143.5421314457884
16.84,158.0,10.0,33.85,133.88,32.41,141.84528543451842
17.21,157.0,10.0,33.85,132.2,32.06,140.1802628760554
17.5,157.0,10.0,33.85,130.89,31.79,138.88347165879745
17.87,157.0,9.0,33.85,129.3,31.46,137.31002913115998
18.24,160.0,11.0,33.85,127.8,31.14,135.8247477450262
18.62,159.0,12.0,33.85,126.3,30.82,134.34055567846963
18.9,160.0,14.0,33.85,125.2,30.59,133.25393277498418
19.27,158.0,16.0,33.85,123.92,30.3,131.98514651278
19.65,155.0,18.0,33.85,122.75,30.0,130.81813712173096
20.02,157.0,19.0,33.85,121.08,29.72,129.18772116575167
20.4,154.0,21.0,33.85,119.5,29.44,127.64319840868922
