R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.21,17.4,6.51,1.51,18.55,0.0,18.6113567479644
0.32,31.0,8.86,2.27,25.65,0.0,25.750250484218594
0.43,36.1,8.16,3.03,29.58,0.0,29.73478266273355
0.54,46.0,8.52,3.84,33.96,0.0,34.17641291885384
0.64,58.0,6.9,4.53,36.83,0.0,37.10754370744579
0.74,63.4,9.55,5.28,39.62,0.0,39.970273954527755
0.85,71.9,8.52,6.04,43.11,0.0,43.5310659184909
0.96,76.4,6.82,6.8,46.75,0.0,47.24195698740686
1.07,78.1,6.65,7.62,50.04,0.0,50.616854900319524
1.17,80.5,6.14,8.31,52.76,0.0,53.410426884644906
1.28,82.8,5.8,9.07,55.72,0.0,56.45337279560894
1.38,85.6,6.48,9.82,58.31,0.0,59.131112791828976
1.48,88.0,7.5,10.57,61.08,0.0,61.98783187045664
1.59,92.0,8.52,11.19,63.47,0.0,64.44887120811349
1.7,92.4,8.52,11.92,65.59,0.0,66.66434204280426
1.8,95.1,9.2,12.54,66.83,0.0,67.9963271066901
1.91,96.5,8.52,13.26,68.03,0.0,69.31023373211202
2.02,101.0,8.86,13.88,68.59,0.0,69.98030079958217
2.13,99.9,9.55,14.61,69.0,0.0,70.52979583126553
2.23,103.0,8.18,15.23,69.17,0.0,70.82684378115405
2.34,104.0,8.52,15.96,69.56,0.0,71.36746597715236
2.44,107.0,9.2,16.58,69.75,0.0,71.6935066794755
2.54,107.0,9.55,17.3,69.69,0.0,71.80519549447658
2.65,106.0,11.2,17.92,69.65,0.0,71.91834884089039
2.76,107.0,11.2,18.55,69.52,0.0,71.95229600228195
7.07,104.0,3.11,26.32,52.21,0.0,58.469021712356366
8.49,106.0,2.55,24.76,47.19,0.0,53.29121597411716
9.91,109.0,4.95,22.59,43.11,0.0,48.670116087800736
11.27,110.0,2.83,20.52,40.05,0.0,45.00080999271013
