R_kpc,V_obs,eV_obs,V_gas,V_disk,V_bul,V_bar
0.25,3.17,3.22,-1.04,6.45,0.0,6.533306972735936
0.5,10.5,3.32,-3.35,13.17,0.0,13.589385563740548
0.75,17.5,4.47,4.05,18.27,0.0,18.713508489858334
1.0,22.7,4.96,4.85,24.79,0.0,25.25998020585131
1.26,29.7,5.29,6.16,29.98,0.0,30.606306539665972
1.5,34.5,4.7,7.83,30.56,0.0,31.54714725613078
1.76,36.0,3.51,8.37,30.97,0.0,32.08111282359139
2.01,37.3,3.45,8.4,29.96,0.0,31.11529527418951
2.26,35.6,3.57,10.27,30.04,0.0,31.74703923202918
2.51,34.9,3.88,11.89,31.48,0.0,33.65059434839153
2.76,32.7,3.27,15.11,33.07,0.0,36.3584515621884
3.01,32.8,3.21,17.63,34.11,0.0,38.39673163174178
3.27,33.2,3.21,19.74,33.92,0.0,39.245815063519835
3.51,32.1,3.23,22.06,33.27,0.0,39.91912448939731
3.76,30.1,3.16,23.37,32.39,0.0,39.94081871970078
4.02,32.3,3.16,24.68,31.18,0.0,39.76549760785095
4.26,33.6,3.12,25.38,30.16,0.0,39.41788933974015
4.52,35.1,3.12,25.99,29.51,0.0,39.323278093261756
4.77,35.3,3.12,26.59,29.25,0.0,39.529616744916716
5.02,35.2,3.13,26.9,29.1,0.0,39.62852507979574
5.27,34.6,3.11,27.2,28.04,0.0,39.065094393844745
5.52,33.0,3.11,27.3,26.8,0.0,38.25611062301028
